Augmenter,Measurement,Difference
Aug_0,Diff_AUC,0.0069316
Aug_1,Diff_AUC,0.0101736
Aug_10,Diff_AUC,0.0394082
Aug_11,Diff_AUC,0.0265068
Aug_12,Diff_AUC,-0.0046788
Aug_13,Diff_AUC,-0.0036932
Aug_14,Diff_AUC,-0.0042068
Aug_15,Diff_AUC,-0.004162
Aug_16,Diff_AUC,-0.0020646
Aug_17,Diff_AUC,-0.0015044
Aug_18,Diff_AUC,-0.002092933
Aug_19,Diff_AUC,0.0090244
Aug_2,Diff_AUC,0.011072
Aug_3,Diff_AUC,0.0302722
Aug_4,Diff_AUC,0.0096656
Aug_5,Diff_AUC,-0.0056332
Aug_6,Diff_AUC,-0.0022996
Aug_7,Diff_AUC,-0.0041992
Aug_8,Diff_AUC,0.021315
Aug_9,Diff_AUC,0.0168728
Aug_0,Diff_F1,0.021829259
Aug_1,Diff_F1,0.030960618
Aug_10,Diff_F1,0.081544245
Aug_11,Diff_F1,0.045150883
Aug_12,Diff_F1,-0.018502072
Aug_13,Diff_F1,-0.014620565
Aug_14,Diff_F1,-0.017367135
Aug_15,Diff_F1,-0.019915397
Aug_16,Diff_F1,-0.008609644
Aug_17,Diff_F1,-0.007417666
Aug_18,Diff_F1,-0.005521185
Aug_19,Diff_F1,0.016637673
Aug_2,Diff_F1,0.029823156
Aug_3,Diff_F1,0.060327582
Aug_4,Diff_F1,0.030454608
Aug_5,Diff_F1,-0.015738888
Aug_6,Diff_F1,0.013909366
Aug_7,Diff_F1,0.005167878
Aug_8,Diff_F1,0.037190373
Aug_9,Diff_F1,0.019900564
